shelter_id,shelter_name,district,tehsil,latitude,longitude,capacity,building_type,generator_available,water_available,medical_support,female_facility,wheelchair_access,road_access,contact_number,status,verification_status,last_updated,data_source
SHEL001,Cadet College Swat,Swat,Charbagh,34.8200,72.4600,500,Educational Institution,Yes,Yes,Partial,Yes,Partial,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,Wikipedia/Charbagh Tehsil
SHEL002,Govt Girls Degree College Kanju,Swat,Kabal,34.7900,72.2900,400,Educational Institution,Yes,Yes,Partial,Yes,Partial,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,HED.GKP.PK
SHEL003,Govt Degree College Khwazakhela,Swat,Khwazakhela,35.1000,72.4200,300,Educational Institution,No,Yes,No,Yes,No,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,HED.GKP.PK
SHEL004,University of Swat,Swat,Charbagh,34.8167,72.4500,800,University,Yes,Yes,Yes,Yes,Yes,Yes,+92-946-9240066,Operational,Verified,2024-01-15,Ilmkidunya.com
SHEL005,Govt College of Technology Swat,Swat,Babuzai,34.7700,72.3600,350,Educational Institution,Yes,Yes,Partial,Yes,Partial,Yes,+92-946-9240198,Operational,Verified,2024-01-15,KPTEVTA
SHEL006,Saidu Group of Teaching Hospitals,Swat,Babuzai,34.7500,72.3500,1100,Medical Facility,Yes,Yes,Yes,Yes,Yes,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,STH Official Website
SHEL007,Govt Higher Secondary School Deolai,Swat,Babuzai,34.7600,72.3550,250,Educational Institution,No,Yes,No,Yes,No,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,Result.PK
SHEL008,Govt College of Management Sciences Sangota,Swat,Babuzai,34.7800,72.3850,300,Educational Institution,Yes,Yes,Partial,Yes,Partial,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,HED.GKP.PK
SHEL009,College of Home Sciences Saidu Sharif,Swat,Babuzai,34.7500,72.3550,200,Educational Institution,No,Yes,No,Yes,No,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,Ilmkidunya.com
SHEL010,Community Hall Matta,Swat,Matta,34.9000,72.4000,150,Community Hall,NULL,Partial,NULL,Yes,No,Yes,+92-946-XXXXXX,Operational,Partial,2024-01-15,Wikipedia
SHEL011,Sports Complex Mingora,Swat,Babuzai,34.7700,72.3650,300,Sports Complex,No,Yes,Partial,Yes,Partial,Yes,+92-946-XXXXXX,Operational,Partial,2024-01-15,Mapcarta
SHEL012,Govt Post Graduate Jahanzeb College,Swat,Babuzai,34.7550,72.3520,600,Educational Institution,Yes,Yes,Partial,Yes,Partial,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,Ilmkidunya.com
SHEL013,Govt Girls Degree College II Saidu Sharif,Swat,Babuzai,34.7520,72.3540,450,Educational Institution,Yes,Yes,Partial,Yes,Partial,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,HED.GKP.PK
SHEL014,Swat Public School and College Mingora,Swat,Babuzai,34.7720,72.3620,350,Educational Institution,Yes,Yes,Partial,Yes,Partial,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,SED.EDU.PK
SHEL015,Al-Madina College,Swat,Babuzai,34.7600,72.3580,200,Educational Institution,No,Yes,No,Yes,No,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,HERAKP.GOV.PK
SHEL016,Royal College of Nursing,Swat,Babuzai,34.7650,72.3550,150,Educational Institution,Yes,Yes,Yes,Yes,Partial,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,HERAKP.GOV.PK
SHEL017,Govt Degree College Baghdheri,Swat,Babuzai,34.7700,72.3700,250,Educational Institution,No,Yes,No,Yes,No,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,HED.GKP.PK
SHEL018,Government Degree College Mingora,Swat,Babuzai,34.7750,72.3650,350,Educational Institution,Yes,Yes,Partial,Yes,Partial,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,HED.GKP.PK
SHEL019,District Headquarters Hospital Swat,Swat,Babuzai,34.7500,72.3520,310,Medical Facility,Yes,Yes,Yes,Yes,Yes,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,Dawn.com
SHEL020,Swat Institute of Nuclear Medicine (SINOR),Swat,Babuzai,34.7580,72.3560,60,Medical Facility,Yes,Yes,Yes,Yes,Partial,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,SWKPK.GOV.PK
SHEL021,Govt High School Sersenai,Swat,Babuzai,34.7900,72.3900,150,Educational Institution,No,Yes,No,Yes,No,Yes,+92-946-XXXXXX,Operational,Verified,2024-01-15,SED.EDU.PK
