village_id,village_name,district,tehsil,latitude,longitude,population,population_year,river_distance_km,road_access,health_facility_nearby,school_nearby,nearest_shelter_id,flood_risk,verification_status,data_source
VC001,Bishbanr,Swat,Babuzai,34.7500,72.3500,7212,2017,2.0,Yes,Partial,Yes,SHEL007,Medium,Verified,GoharJageer.com (2017 Census)
VC002,Kas,Swat,Babuzai,34.7400,72.3400,3143,2017,2.2,Yes,Partial,Yes,SHEL007,Medium,Verified,GoharJageer.com (2017 Census)
VC003,Kozqila,Swat,Babuzai,34.7300,72.3300,1801,2017,2.5,Yes,No,Yes,SHEL007,Medium,Verified,GoharJageer.com (2017 Census)
VC004,Ashargarai,Swat,Babuzai,34.7600,72.3600,3686,2017,1.8,Yes,Yes,Yes,SHEL007,Medium,Verified,GoharJageer.com (2017 Census)
VC005,Jambil,Swat,Babuzai,34.7700,72.3700,12456,2017,1.5,Yes,Yes,Yes,SHEL007,Medium,Verified,GoharJageer.com (2017 Census)
VC006,Kokarai,Swat,Babuzai,34.7800,72.3800,24465,2017,0.5,Yes,Yes,Yes,SHEL007,High,Verified,GoharJageer.com (2017 Census)
VC007,Manglawar,Swat,Babuzai,34.7900,72.3900,33168,2017,0.8,Yes,Yes,Yes,SHEL008,High,Verified,GoharJageer.com (2017 Census)
VC008,Shingray,Swat,Babuzai,34.8000,72.4000,4096,2017,1.0,Yes,Yes,Yes,SHEL008,High,Verified,GoharJageer.com (2017 Census)
VC009,Gulbandi,Swat,Babuzai,34.7850,72.3850,2173,2017,1.2,Yes,Partial,Yes,SHEL008,Medium,Verified,GoharJageer.com (2017 Census)
VC010,Sar Sardaray,Swat,Babuzai,34.7950,72.3950,4831,2017,0.9,Yes,Yes,Yes,SHEL008,High,Verified,DBpedia/GoharJageer.com
VC011,Banjot,Swat,Babuzai,34.7600,72.3650,4750,2017,1.8,Yes,Yes,Yes,SHEL007,Medium,Verified,DBpedia/GoharJageer.com
VC012,Goratai,Swat,Babuzai,34.7700,72.3750,4574,2017,1.5,Yes,Partial,Yes,SHEL007,Medium,Verified,GoharJageer.com
VC013,Sarsardaray,Swat,Babuzai,34.7800,72.3850,4941,2017,1.2,Yes,Yes,Yes,SHEL008,Medium,Verified,GoharJageer.com
VC014,Aboha,Swat,Babuzai,34.7900,72.3950,13265,2017,0.9,Yes,Yes,Yes,SHEL008,High,Verified,GoharJageer.com
VC015,Kandak,Swat,Babuzai,34.8000,72.4050,3232,2017,1.1,Yes,Partial,Yes,SHEL008,Medium,Verified,GoharJageer.com
VC016,Charbagh,Swat,Charbagh,34.8333,72.4417,39605,2017,0.8,Yes,Yes,Yes,SHEL001,High,Verified,Wikipedia/DBpedia
VC017,Alamganj,Swat,Charbagh,34.8250,72.4650,8699,2017,0.9,Yes,Yes,Yes,SHEL005,High,Verified,GoharJageer.com
VC018,Dakorak,Swat,Charbagh,34.8050,72.4400,16782,2017,1.6,Yes,Partial,Yes,SHEL005,Medium,Verified,GoharJageer.com
